file_path,dir,file_size,id,title,type,status,author,reviewed_by,confidence,trust_level,source_refs_count,source_refs_has_theme,domain_list,tags_count,related_count,created_at,updated_at,issues
30_wiki/cases/case-ai-agent-milestone-design.md,cases,4137,case-ai-agent-milestone-design,案例：Truman 用 AI Agent 3 小时设计里程碑方法论与 48 个组件,case,enriched,老顽童,老顽童,0.85,high,1,False,"yitang, modeling, ai",5,3,2026-06-14,2026-06-14,
30_wiki/cases/case-ai-assisted-review.md,cases,3330,case-ai-assisted-review,案例：一堂用 AI 做复盘——从 Before/After 对比到 AI 自己复盘自己,case,enriched,老顽童,老顽童,0.85,high,1,False,"yitang, modeling, ai",5,3,2026-06-14,2026-06-14,
30_wiki/cases/case-ai-time-management-tiered-growth.md,cases,4417,case-ai-time-management-tiered-growth,案例：AI时间管理App七级演进,case,enriched,legacy,洪七公,0.85,medium,3,False,"yitang, ai",3,0,2026-06-10,2026-06-10,high-conf-low-trust
30_wiki/cases/case-child-drawing-rhyme.md,cases,3491,case-child-drawing-rhyme,案例：孩子控笔‘画画歌’——最小单元的建模实践,case,enriched,老顽童,老顽童,0.85,high,1,False,"yitang, modeling, personal-life",4,3,2026-06-14,2026-06-14,
30_wiki/cases/case-coffee-shop-foresight.md,cases,4197,case-coffee-shop-foresight,案例：咖啡馆创业预判,case,enriched,legacy,洪七公,0.85,medium,4,False,yitang,3,0,2026-06-10,2026-06-10,high-conf-low-trust
30_wiki/cases/case-course-milestone-model.md,cases,3493,case-course-milestone-model,案例：一堂课程里程碑模型——方法论级建模的六步生产流程,case,enriched,老顽童,老顽童,0.85,high,1,False,"yitang, modeling, education",4,3,2026-06-14,2026-06-14,
30_wiki/cases/case-dental-clinic-formula.md,cases,4867,case-dental-clinic-formula,ToC 连锁口腔诊所：成交率 30% 背后的“危机感知”公式,case,enriched,孔阳,老顽童,0.9,high,3,False,"yitang, healthcare, business-strategy",5,4,2026-06-15,2026-06-15,
30_wiki/cases/case-escort-service-tiered-growth.md,cases,3692,case-escort-service-tiered-growth,案例：陪诊业务七级演进,case,enriched,legacy,洪七公,0.85,medium,3,False,yitang,3,0,2026-06-10,2026-06-10,high-conf-low-trust
30_wiki/cases/case-essence-education-strategy.md,cases,3787,case-essence-education-strategy,案例：教育本质与战略本质的提炼,case,enriched,老顽童,老顽童,0.85,high,1,False,"yitang, modeling, strategy",5,3,2026-06-14,2026-06-14,
30_wiki/cases/case-essence-entrepreneurship.md,cases,3075,case-essence-entrepreneurship,案例：创业本质 = 小概率游戏,case,enriched,老顽童,老顽童,0.85,high,1,False,"yitang, entrepreneurship, modeling",4,4,2026-06-14,2026-06-14,
